"time period","train operating company name","NR on TOC External","NR on TOC Network Management Other","NR on TOC Non Track Assets","NR on TOC Severe Weather","NR on TOC Track","TOC on Self Fleet","TOC on Self Operations","TOC on Self Stations","TOC on Self TOC Other","TOC on Self Traincrew","TOC on TOC Fleet","TOC on TOC Operations","TOC on TOC Stations","TOC on TOC TOC Other","TOC on TOC Traincrew"
"Apr 2019 to Mar 2020 (Period 09)","TransPennine Express","5371.5","11330.4","12675.6","5823.2","7618.5","6347.0","689.6","1070.0","1121.0","12342.5","12128.4","1979.0","884.5","4075.0","4793.0"
"Apr 2019 to Mar 2020 (Period 10)","TransPennine Express","3031.6","6849.2","6661.8","2640.0","3458.0","6196.0","646.0","1351.6","603.0","11810.0","8865.7","1895.2","1020.0","1800.3","3736.8"
"Apr 2019 to Mar 2020 (Period 11)","TransPennine Express","4627.6","7689.9","8485.8","2159.8","3032.9","7021.7","545.6","919.0","1132.0","4772.5","7817.7","2638.9","1027.9","1757.4","3010.3"
"Apr 2019 to Mar 2020 (Period 12)","TransPennine Express","5876.9","9396.3","10663.4","10723.9","6354.6","11236.5","1992.2","1477.0","685.0","7300.5","11337.1","1959.8","977.0","1658.0","3279.9"
"Apr 2019 to Mar 2020 (Period 13)","TransPennine Express","4889.2","6803.1","4839.3","2762.0","3355.2","5712.0","487.5","1233.0","844.0","5325.0","6048.1","889.0","538.5","2418.0","2195.2"
"Apr 2020 to Mar 2021 (Period 01)","TransPennine Express","1075.0","1179.0","844.0","156.0","373.0","910.0","91.0","43.0","160.0","438.5","257.5","90.5","8.0","115.0","101.5"
"Apr 2020 to Mar 2021 (Period 02)","TransPennine Express","2128.0","1466.0","2380.0","331.5","612.0","2038.0","72.5","87.0","185.0","646.0","682.0","135.5","24.0","108.0","86.5"
"Apr 2020 to Mar 2021 (Period 03)","TransPennine Express","1407.0","1622.5","1726.0","1027.0","431.0","1493.5","119.5","157.0","174.0","452.0","1163.0","208.0","33.5","182.5","310.5"
"Apr 2020 to Mar 2021 (Period 04)","TransPennine Express","2319.0","3285.5","2165.0","81.0","378.0","2621.0","152.0","205.0","328.0","739.0","1018.5","263.5","49.0","553.5","230.0"
"Apr 2020 to Mar 2021 (Period 05)","TransPennine Express","3239.5","2764.3","2733.4","1407.0","1638.0","2204.4","190.0","414.5","769.0","858.8","1339.0","263.5","118.5","560.5","194.5"
"Apr 2020 to Mar 2021 (Period 06)","TransPennine Express","1427.0","3083.6","2644.1","664.2","878.0","2431.5","90.0","354.0","571.0","1065.4","1713.0","338.8","155.0","426.0","325.5"
"Apr 2020 to Mar 2021 (Period 07)","TransPennine Express","2521.5","3439.5","2597.0","1027.5","904.0","1837.0","118.0","126.0","500.0","1440.5","1948.0","411.5","106.0","778.0","477.5"
"Apr 2020 to Mar 2021 (Period 08)","TransPennine Express","1537.6","4020.5","3349.0","3358.0","2335.0","2178.5","229.5","173.0","785.0","1312.0","2164.3","440.5","154.0","1324.5","660.5"
"Apr 2020 to Mar 2021 (Period 09)","TransPennine Express","1671.4","4233.1","2837.9","1724.9","1847.2","2135.0","209.5","149.0","703.5","882.0","1921.0","496.0","104.0","603.0","597.5"
"Apr 2020 to Mar 2021 (Period 10)","TransPennine Express","1981.7","1948.5","2923.0","940.5","1097.0","2276.0","181.5","246.0","355.0","1004.0","1825.2","278.0","73.0","423.5","410.0"
"Apr 2020 to Mar 2021 (Period 11)","TransPennine Express","1017.6","3090.7","2371.0","10877.0","1660.1","1750.0","134.5","99.5","417.0","692.5","1474.7","255.0","50.0","522.8","353.5"
"Apr 2020 to Mar 2021 (Period 12)","TransPennine Express","955.2","1514.9","2349.0","2416.0","1065.0","2178.0","130.0","65.0","147.0","446.5","940.7","193.0","20.0","352.2","149.5"
"Apr 2020 to Mar 2021 (Period 13)","TransPennine Express","1476.8","1411.2","1043.2","670.5","459.2","1396.6","43.4","51.4","354.0","364.2","495.2","244.9","32.6","231.1","373.8"
"Apr 2021 to Mar 2022 (Period 01)","TransPennine Express","3564.0","4154.0","2366.0","109.5","637.0","1774.0","103.5","140.5","604.0","874.5","1479.0","286.0","136.0","667.5","294.5"
"Apr 2021 to Mar 2022 (Period 02)","TransPennine Express","3794.0","4320.0","2414.5","534.0","699.0","2224.0","43.0","118.0","443.0","641.5","1527.0","344.0","132.0","650.0","438.0"
"Apr 2021 to Mar 2022 (Period 03)","TransPennine Express","3030.5","2800.0","3290.0","129.0","595.0","2270.0","65.0","195.0","694.0","817.5","2053.0","465.5","192.0","527.0","622.5"
"Apr 2021 to Mar 2022 (Period 04)","TransPennine Express","3701.8","3241.3","4041.0","809.2","1527.0","1912.0","79.0","268.0","600.0","1225.5","1974.2","316.0","200.5","603.5","710.0"
"Apr 2021 to Mar 2022 (Period 05)","TransPennine Express","2124.0","3058.3","2275.0","1973.6","862.0","1991.5","74.5","454.0","1184.0","1335.0","1709.0","500.6","330.5","739.5","684.5"
"Apr 2021 to Mar 2022 (Period 06)","TransPennine Express","3256.1","3222.3","2111.1","566.8","835.0","2650.0","95.5","357.0","775.0","889.5","3255.9","425.3","520.0","580.5","646.0"
"Apr 2021 to Mar 2022 (Period 07)","TransPennine Express","2469.5","3780.0","2550.0","655.5","985.0","1863.0","200.5","554.0","718.0","910.5","2237.5","625.0","391.5","1033.5","781.5"
"Apr 2021 to Mar 2022 (Period 08)","TransPennine Express","3711.5","4903.2","4022.0","6674.0","1930.0","2244.0","121.0","539.0","980.5","1713.0","2864.0","639.9","547.0","2442.5","1223.4"
"Apr 2021 to Mar 2022 (Period 09)","TransPennine Express","3668.3","4058.7","5514.5","9775.4","1988.0","3024.0","216.5","797.0","1486.0","1911.0","4376.3","669.1","489.0","2002.4","1258.8"
"Apr 2021 to Mar 2022 (Period 10)","TransPennine Express","2869.0","2882.0","4167.0","984.0","1751.0","3568.0","361.5","697.5","670.5","5893.0","2779.5","719.5","339.5","907.0","1567.0"
"Apr 2021 to Mar 2022 (Period 11)","TransPennine Express","3698.8","3214.4","2469.1","3022.1","1265.0","1370.5","154.0","204.0","592.5","3059.0","1813.0","494.2","184.5","743.9","936.0"
"Apr 2021 to Mar 2022 (Period 12)","TransPennine Express","1723.4","2617.1","3373.1","7890.2","1594.0","1226.0","279.0","608.0","880.5","3221.4","1852.5","554.3","208.9","774.1","1210.5"
"Apr 2021 to Mar 2022 (Period 13)","TransPennine Express","1904.9","2580.8","1856.7","391.4","1000.2","1852.6","163.4","394.9","279.0","3031.9","1403.2","322.7","173.3","463.0","1097.0"
"Apr 2022 to Mar 2023 (Period 01)","TransPennine Express","3791.2","2307.4","2433.0","77.0","1714.0","2822.0","459.5","669.0","596.0","4040.0","1529.4","457.0","283.0","600.5","962.0"
"Apr 2022 to Mar 2023 (Period 02)","TransPennine Express","3710.5","2416.2","2244.4","55.0","1507.0","1712.0","156.5","771.0","635.0","4768.0","2234.0","483.6","429.5","690.5","1212.9"
"Apr 2022 to Mar 2023 (Period 03)","TransPennine Express","3262.0","2639.6","2356.3","774.8","302.0","1610.0","304.0","499.0","367.5","5346.0","2144.8","324.0","304.0","803.0","920.0"
"Apr 2022 to Mar 2023 (Period 04)","TransPennine Express","6009.0","4992.5","5789.3","4205.5","2175.0","3430.0","195.5","562.0","561.0","6158.0","2081.1","539.0","436.7","896.4","1127.0"
"Apr 2022 to Mar 2023 (Period 05)","TransPennine Express","3152.0","3040.0","3407.0","542.0","1372.0","1931.0","259.5","640.0","539.0","5324.0","2393.5","482.5","472.0","589.0","969.5"
"Apr 2022 to Mar 2023 (Period 06)","TransPennine Express","4562.1","3428.2","2285.2","1293.0","1806.0","1870.0","241.5","604.5","1114.0","5693.5","2043.9","687.1","388.0","760.5","1374.4"
"Apr 2022 to Mar 2023 (Period 07)","TransPennine Express","3134.7","2916.6","2138.2","2855.8","2704.0","1538.0","289.0","570.0","565.2","4685.0","3609.3","548.0","288.0","1109.5","974.6"
"Apr 2022 to Mar 2023 (Period 08)","TransPennine Express","4649.3","4006.3","2912.1","2670.1","2252.0","1832.0","484.3","685.0","890.0","5876.6","2099.5","692.8","262.0","2212.6","1401.5"
"Apr 2022 to Mar 2023 (Period 09)","TransPennine Express","3407.4","5680.6","3755.4","2735.6","2697.0","3217.0","331.6","914.5","461.0","6244.3","2549.0","617.3","356.0","1575.0","1466.2"
"Apr 2022 to Mar 2023 (Period 10)","TransPennine Express","778.9","6051.3","1119.5","2381.1","908.0","1966.0","184.1","451.0","246.5","4769.4","1329.1","698.5","320.5","427.1","942.0"
"Apr 2022 to Mar 2023 (Period 11)","TransPennine Express","1854.5","3507.8","4795.3","3860.9","2969.0","3794.0","584.0","565.0","862.0","8033.9","4426.5","1101.6","654.0","1132.3","1670.3"
"Apr 2022 to Mar 2023 (Period 12)","TransPennine Express","2780.5","5027.3","3644.8","3173.4","3958.0","2368.0","320.0","478.0","487.0","6742.4","3120.2","950.9","485.5","1414.0","1729.0"
"Apr 2022 to Mar 2023 (Period 13)","TransPennine Express","4807.0","4476.9","3235.2","1877.2","2110.1","1957.1","477.2","498.8","751.5","7098.6","2532.2","1021.1","388.2","1114.6","1544.1"
"Apr 2023 to Mar 2024 (Period 01)","TransPennine Express","5613.0","4781.0","7151.0","692.0","2845.0","2810.0","351.0","780.5","941.5","5819.0","3370.5","634.0","581.5","1146.0","1650.5"
"Apr 2023 to Mar 2024 (Period 02)","TransPennine Express","3092.7","4327.2","6573.4","325.4","3476.0","3976.0","298.5","535.0","1430.0","7960.0","4709.8","579.5","674.5","1300.5","1324.5"
"Apr 2023 to Mar 2024 (Period 03)","TransPennine Express","3976.0","6470.9","5255.9","1743.6","2273.0","3827.5","960.0","392.0","483.0","6080.0","3134.8","553.6","695.0","814.0","1206.7"
"Apr 2023 to Mar 2024 (Period 04)","TransPennine Express","5516.2","6019.5","8406.1","1323.6","4911.0","2565.0","511.5","510.0","1053.5","4966.5","4430.2","793.8","746.5","1375.8","2149.8"
"Apr 2023 to Mar 2024 (Period 05)","TransPennine Express","5704.8","7537.2","6316.6","1241.2","1837.0","4889.0","526.5","591.0","1066.0","5853.5","5435.2","849.0","764.5","1483.9","2051.6"
"Apr 2023 to Mar 2024 (Period 06)","TransPennine Express","4467.7","6071.4","6076.8","1019.2","2836.0","4437.0","361.5","715.0","658.0","3441.0","3809.7","877.2","818.5","1330.5","1901.6"
"Apr 2023 to Mar 2024 (Period 07)","TransPennine Express","6375.1","8347.8","6914.8","3075.2","2183.0","3710.6","341.0","687.0","744.8","4392.5","4419.0","1322.1","987.0","1484.6","2936.0"
"Apr 2023 to Mar 2024 (Period 08)","TransPennine Express","4239.4","8642.9","8259.9","13679.5","2220.4","3680.0","492.5","786.0","1248.5","4682.0","5934.1","1312.8","704.0","2573.0","2890.0"
"Apr 2023 to Mar 2024 (Period 09)","TransPennine Express","4497.9","10851.4","7535.8","12431.8","6607.0","4899.5","771.1","1084.5","1832.0","6883.3","7062.4","1696.6","945.0","2864.0","3654.6"
"Apr 2023 to Mar 2024 (Period 10)","TransPennine Express","4010.6","8394.6","5146.9","7162.1","1403.2","3296.5","455.8","860.0","807.0","4140.5","5235.8","1514.0","562.0","1445.3","2501.7"
"Apr 2023 to Mar 2024 (Period 11)","TransPennine Express","5952.8","5048.1","9228.1","3435.0","5890.1","2930.5","229.3","470.5","822.0","2358.4","4466.2","769.8","437.5","1108.4","1642.4"
"Apr 2023 to Mar 2024 (Period 12)","TransPennine Express","3611.0","6043.2","5390.0","1523.4","3374.5","2170.0","336.0","478.0","891.0","3321.3","3111.7","793.9","590.4","1707.9","2019.7"
"Apr 2023 to Mar 2024 (Period 13)","TransPennine Express","3754.6","5375.0","5605.0","1777.0","4450.0","1802.5","304.7","671.0","1184.4","2862.0","3239.8","1048.3","645.6","1863.6","2482.6"
"Apr 2024 to Mar 2025 (Period 01)","TransPennine Express","5027.0","5805.0","4642.0","3552.0","6822.0","2571.5","471.5","746.0","995.0","2670.5","2358.5","611.0","467.0","1100.5","1332.5"
"Apr 2024 to Mar 2025 (Period 02)","TransPennine Express","5220.5","4549.0","8015.0","1881.0","2277.0","2961.0","225.0","979.0","1066.0","2999.5","2863.0","736.0","501.0","985.5","1642.5"
"Apr 2024 to Mar 2025 (Period 03)","TransPennine Express","6011.6","8003.8","5823.1","1380.1","3454.5","2355.5","327.5","1017.0","975.0","2123.5","3535.4","789.5","768.0","1364.0","3427.5"
"Apr 2024 to Mar 2025 (Period 04)","TransPennine Express","6839.4","6009.2","6744.6","1694.3","1751.0","4310.5","177.0","898.0","1051.5","2997.0","3625.2","883.7","552.0","1489.5","3168.0"
"Apr 2024 to Mar 2025 (Period 05)","TransPennine Express","9639.3","6624.9","7316.9","2052.9","3562.5","2540.5","312.3","1043.0","1400.0","2507.9","4031.9","719.5","1028.0","1549.5","2207.8"
"Apr 2024 to Mar 2025 (Period 06)","TransPennine Express","10568.8","9047.1","7569.5","2656.1","3042.0","2901.0","192.8","1064.0","1061.5","2122.5","7827.4","912.8","941.0","1390.0","2837.5"
"Apr 2024 to Mar 2025 (Period 07)","TransPennine Express","8090.9","6242.9","7519.2","2685.2","3434.0","4426.0","350.1","838.0","1758.0","3123.3","5614.0","1152.8","904.5","1937.5","4318.0"
"Apr 2024 to Mar 2025 (Period 08)","TransPennine Express","7670.1","7305.8","8672.7","4758.3","2522.9","2422.0","410.5","1091.0","1529.0","2654.9","4754.9","1253.8","996.0","2688.7","3927.5"
"Apr 2024 to Mar 2025 (Period 09)","TransPennine Express","8918.8","10687.5","7884.6","7960.5","4350.1","2863.3","366.4","812.0","1461.3","3728.4","5433.3","1097.5","856.5","3260.2","2792.5"
"Apr 2024 to Mar 2025 (Period 10)","TransPennine Express","8277.1","7464.3","5177.7","5066.6","5540.0","3889.8","144.0","1105.0","1548.0","4869.0","5300.5","1797.5","835.0","1670.5","2355.0"
"Apr 2024 to Mar 2025 (Period 11)","TransPennine Express","8217.5","8376.3","9726.3","9802.8","2613.0","6296.0","374.0","983.0","1992.5","3112.0","6913.4","1280.9","1140.5","2176.7","2306.0"
"Apr 2024 to Mar 2025 (Period 12)","TransPennine Express","7531.5","9019.9","7825.0","3196.4","4489.2","2903.7","206.5","1070.0","1257.0","3291.0","8154.5","1483.1","1062.5","2686.1","2568.5"
"Apr 2024 to Mar 2025 (Period 13)","TransPennine Express","4399.7","8054.1","6446.9","553.2","5084.0","2641.5","309.6","1202.9","1367.0","2184.4","4371.2","877.0","747.5","1220.4","1890.6"
"Apr 2025 to Mar 2026 (Period 01)","TransPennine Express","7386.7","7888.1","6444.5","527.5","3878.0","5511.5","230.0","941.0","1707.0","2403.0","5439.7","1125.5","1001.5","2420.0","2466.0"
"Apr 2025 to Mar 2026 (Period 02)","TransPennine Express","11093.0","8554.2","8330.1","5750.2","3073.6","4991.0","228.0","1052.0","918.0","2144.5","7584.4","702.0","1445.5","2332.0","1985.5"
"Apr 2025 to Mar 2026 (Period 03)","TransPennine Express","7113.1","7218.8","7839.6","1287.6","1754.8","3021.5","215.0","1250.0","932.0","1469.0","5494.8","685.5","871.0","1882.0","2417.3"
"Apr 2025 to Mar 2026 (Period 04)","TransPennine Express","7609.4","11094.6","12737.9","1536.6","3879.0","3429.0","358.5","1723.5","1216.0","2839.5","6962.1","1018.5","1358.5","1942.5","2460.3"
"Apr 2025 to Mar 2026 (Period 05)","TransPennine Express","8675.1","9553.2","9795.0","1780.1","3828.0","3121.0","290.0","1317.0","1308.0","3274.5","5584.4","974.5","1999.0","3148.7","2212.6"
"Apr 2025 to Mar 2026 (Period 06)","TransPennine Express","8457.7","8921.9","6102.1","2937.5","4742.9","2760.0","191.0","1258.0","1254.0","2387.0","6360.3","797.0","1549.5","2511.5","2259.5"
"Apr 2025 to Mar 2026 (Period 07)","TransPennine Express","7192.8","8925.8","8052.7","3228.0","3690.0","3839.5","221.5","1285.0","1271.0","2718.0","6923.8","1234.5","867.9","2498.8","2507.4"
"Apr 2025 to Mar 2026 (Period 08)","TransPennine Express","10878.6","9063.1","7993.1","4086.4","3610.6","4252.5","275.5","1202.5","1578.5","2955.0","6014.7","858.0","848.5","3389.6","2808.4"
"Apr 2025 to Mar 2026 (Period 09)","TransPennine Express","7841.9","10686.2","12167.5","10736.4","5743.1","5105.0","529.5","1412.0","1432.5","3025.5","8034.1","1272.2","1120.0","4354.9","3252.1"
"Apr 2025 to Mar 2026 (Period 10)","TransPennine Express","8078.3","7886.2","8220.3","2757.7","2699.3","3728.5","272.1","1173.0","1588.9","2666.2","4082.1","792.7","1056.0","2627.9","2730.9"
"Apr 2025 to Mar 2026 (Period 11)","TransPennine Express","5812.9","17271.1","7360.9","2088.0","3249.0","5229.6","395.9","779.1","1066.0","2727.1","5284.2","930.0","592.0","2363.0","2171.3"
"Apr 2025 to Mar 2026 (Period 12)","TransPennine Express","5331.9","6345.4","9680.8","1106.8","4470.4","3572.8","206.1","680.2","673.5","2297.3","5910.3","1684.5","1036.1","1954.7","1965.2"
"Apr 2019 to Mar 2020 (Period 01)","Vintage Trains","0.0","6.0","0.0","4.0","3.0","4.0","11.0","0.0","0.0","0.0","12.0","3.0","0.0","0.0","0.0"
"Apr 2019 to Mar 2020 (Period 02)","Vintage Trains","28.0","4.0","19.0","0.0","0.0","0.0","44.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0"
"Apr 2019 to Mar 2020 (Period 03)","Vintage Trains","0.0","14.0","4.0","0.0","0.0","14.0","17.0","58.0","0.0","0.0","4.0","11.0","0.0","0.0","0.0"
"Apr 2019 to Mar 2020 (Period 04)","Vintage Trains","0.0","18.0","13.0","0.0","0.0","0.0","4.0","0.0","0.0","4.0","6.0","0.0","4.0","0.0","3.0"
"Apr 2019 to Mar 2020 (Period 05)","Vintage Trains","15.0","14.0","6.0","0.0","0.0","15.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0"
"Apr 2019 to Mar 2020 (Period 06)","Vintage Trains","0.0","11.0","18.0","0.0","0.0","0.0","7.0","3.0","0.0","0.0","21.0","0.0","6.0","0.0","0.0"
"Apr 2019 to Mar 2020 (Period 07)","Vintage Trains","0.0","1.5","0.0","0.0","0.0","4.0","10.0","0.0","0.0","0.0","0.0","1.5","0.0","6.0","5.0"
"Apr 2019 to Mar 2020 (Period 09)","Vintage Trains","0.0","116.0","18.0","3.0","11.0","22.0","12.0","0.0","0.0","7.0","0.0","0.0","8.0","12.0","27.0"
"Apr 2019 to Mar 2020 (Period 10)","Vintage Trains","2.0","67.0","3.0","0.0","0.0","78.0","30.0","0.0","0.0","3.0","26.0","6.0","9.0","0.0","26.0"
"Apr 2021 to Mar 2022 (Period 05)","Vintage Trains","3.0","9.0","6.0","0.0","0.0","156.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2021 to Mar 2022 (Period 06)","Vintage Trains","0.0","24.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2021 to Mar 2022 (Period 07)","Vintage Trains","0.0","3.0","10.0","0.0","0.0","0.0","20.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0"
"Apr 2021 to Mar 2022 (Period 08)","Vintage Trains","246.0","24.0","3.0","1.0","0.0","23.0","6.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2021 to Mar 2022 (Period 09)","Vintage Trains","0.0","0.0","0.0","0.0","46.0","31.0","63.0","14.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0"
"Apr 2021 to Mar 2022 (Period 10)","Vintage Trains","14.0","0.0","34.0","4.0","0.0","53.0","27.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2021 to Mar 2022 (Period 12)","Vintage Trains","0.0","24.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0"
"Apr 2021 to Mar 2022 (Period 13)","Vintage Trains","5.0","4.0","0.0","3.0","7.0","24.0","41.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0"
"Apr 2022 to Mar 2023 (Period 01)","Vintage Trains","0.0","13.0","14.0","0.0","3.0","0.0","15.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2022 to Mar 2023 (Period 02)","Vintage Trains","0.0","3.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0"
"Apr 2022 to Mar 2023 (Period 03)","Vintage Trains","58.0","2.5","26.0","0.0","5.0","18.0","9.0","12.0","0.0","0.0","0.0","2.5","0.0","0.0","9.0"
"Apr 2022 to Mar 2023 (Period 04)","Vintage Trains","0.0","3.0","0.0","10.0","10.0","137.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0"
"Apr 2022 to Mar 2023 (Period 05)","Vintage Trains","14.0","16.0","0.0","0.0","5.0","21.0","0.0","4.0","0.0","0.0","4.0","0.0","3.0","0.0","9.0"
"Apr 2022 to Mar 2023 (Period 06)","Vintage Trains","4.0","24.0","0.0","0.0","13.0","0.0","3.0","12.0","0.0","0.0","0.0","0.0","3.0","3.0","15.0"
"Apr 2022 to Mar 2023 (Period 08)","Vintage Trains","0.0","0.0","0.0","0.0","3.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2022 to Mar 2023 (Period 09)","Vintage Trains","11.0","79.0","155.0","2.5","7.0","22.0","177.0","43.0","0.0","3.0","39.0","5.0","3.0","1.5","35.0"
"Apr 2022 to Mar 2023 (Period 10)","Vintage Trains","6.0","18.0","159.0","0.0","0.0","5.0","145.0","4.0","0.0","0.0","0.0","0.0","0.0","4.0","15.0"
"Apr 2022 to Mar 2023 (Period 12)","Vintage Trains","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2022 to Mar 2023 (Period 13)","Vintage Trains","0.0","22.0","3.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0"
"Apr 2023 to Mar 2024 (Period 01)","Vintage Trains","15.0","9.0","0.0","0.0","0.0","9.0","22.0","11.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0"
"Apr 2023 to Mar 2024 (Period 03)","Vintage Trains","12.0","7.0","0.0","15.0","3.0","0.0","12.0","3.0","0.0","0.0","21.0","0.0","0.0","0.0","0.0"
"Apr 2023 to Mar 2024 (Period 04)","Vintage Trains","0.0","7.0","0.0","0.0","1.0","0.0","20.0","0.0","0.0","0.0","3.0","0.0","0.0","4.0","14.0"
"Apr 2023 to Mar 2024 (Period 05)","Vintage Trains","6.0","4.0","0.0","0.0","1.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","9.0","0.0","9.0"
"Apr 2023 to Mar 2024 (Period 06)","Vintage Trains","0.0","0.0","0.0","2.0","3.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2023 to Mar 2024 (Period 07)","Vintage Trains","0.0","30.0","19.0","17.0","0.0","36.0","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2023 to Mar 2024 (Period 08)","Vintage Trains","0.0","0.0","0.0","14.5","2.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","2.0","1.5","0.0"
"Apr 2023 to Mar 2024 (Period 09)","Vintage Trains","0.0","23.0","3.0","3.0","19.0","0.0","87.0","2.0","0.0","0.0","18.0","0.0","17.0","23.0","7.0"
"Apr 2023 to Mar 2024 (Period 10)","Vintage Trains","12.0","16.0","14.0","1.5","12.0","0.0","91.0","0.0","0.0","0.0","0.0","0.0","4.0","12.5","11.0"
"Apr 2023 to Mar 2024 (Period 12)","Vintage Trains","0.0","15.0","0.0","0.0","0.0","0.0","7.0","5.0","0.0","0.0","16.0","0.0","0.0","0.0","0.0"
"Apr 2023 to Mar 2024 (Period 13)","Vintage Trains","0.0","0.0","0.0","0.0","0.0","0.0","30.0","0.0","53.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2024 to Mar 2025 (Period 02)","Vintage Trains","0.0","19.0","0.0","0.0","14.0","28.0","18.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0"
"Apr 2024 to Mar 2025 (Period 03)","Vintage Trains","0.0","21.0","21.0","1.0","0.0","0.0","47.0","5.0","0.0","4.0","12.0","4.0","9.0","16.0","0.0"
"Apr 2024 to Mar 2025 (Period 04)","Vintage Trains","0.0","0.0","10.0","0.0","4.0","0.0","17.0","12.0","0.0","0.0","11.0","0.0","1.0","0.0","0.0"
"Apr 2024 to Mar 2025 (Period 05)","Vintage Trains","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2024 to Mar 2025 (Period 07)","Vintage Trains","10.0","25.0","27.0","17.0","0.0","31.0","11.0","0.0","0.0","12.0","0.0","0.0","0.0","0.0","6.0"
"Apr 2024 to Mar 2025 (Period 08)","Vintage Trains","0.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2024 to Mar 2025 (Period 09)","Vintage Trains","13.0","47.0","33.0","51.0","16.0","27.0","40.0","10.0","0.0","0.0","42.0","0.0","0.0","16.0","3.0"
"Apr 2024 to Mar 2025 (Period 10)","Vintage Trains","0.0","22.0","0.0","4.0","6.0","0.0","46.0","0.0","0.0","0.0","24.0","0.0","9.0","0.0","4.0"
"Apr 2024 to Mar 2025 (Period 13)","Vintage Trains","0.0","0.0","0.0","0.0","5.0","67.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0"
"Apr 2025 to Mar 2026 (Period 01)","Vintage Trains","0.0","9.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Apr 2025 to Mar 2026 (Period 02)","Vintage Trains","6.0","11.0","0.0","0.0","0.0","0.0","50.0","36.0","0.0","0.0","25.0","2.0","3.0","0.0","39.0"
"Apr 2025 to Mar 2026 (Period 03)","Vintage Trains","4.0","5.0","0.0","0.0","0.0","0.0","43.0","0.0","0.0","5.0","5.0","24.0","0.0","0.0","0.0"
"Apr 2025 to Mar 2026 (Period 04)","Vintage Trains","7.0","4.0","11.0","5.0","0.0","9.0","17.0","6.0","0.0","0.0","0.0","2.0","0.0","0.0","3.0"
"Apr 2025 to Mar 2026 (Period 05)","Vintage Trains","8.0","8.0","0.0","0.0","2.0","0.0","24.0","0.0","0.0","0.0","15.0","0.0","2.0","0.0","0.0"
"Apr 2025 to Mar 2026 (Period 06)","Vintage Trains","0.0","13.0","0.0","0.0","22.0","41.0","11.0","6.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0"
"Apr 2025 to Mar 2026 (Period 07)","Vintage Trains","0.0","8.0","95.0","0.0","0.0","0.0","130.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","4.0"
"Apr 2025 to Mar 2026 (Period 08)","Vintage Trains","0.0","57.0","141.0","0.0","0.0","39.0","30.0","3.0","0.0","4.0","23.0","0.0","0.0","12.0","4.0"
"Apr 2025 to Mar 2026 (Period 09)","Vintage Trains","8.0","19.0","0.0","60.5","0.0","25.0","59.0","0.0","0.0","0.0","6.0","2.0","4.0","20.5","4.0"
"Apr 2025 to Mar 2026 (Period 10)","Vintage Trains","0.0","3.0","15.0","1.5","2.0","16.0","80.0","0.0","0.0","0.0","51.0","0.0","7.0","1.5","5.0"
"Apr 2025 to Mar 2026 (Period 12)","Vintage Trains","0.0","11.0","0.0","0.0","0.0","50.0","20.0","0.0","0.0","0.0","0.0","7.0","0.0","3.0","0.0"
